rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1.0,Spain,ESP,1485.0,1460.0,0,UEFA,2014-06-05
2.0,Germany,GER,1300.0,1340.0,0,UEFA,2014-06-05
3.0,Brazil,BRA,1242.0,1210.0,-1,CONMEBOL,2014-06-05
4.0,Portugal,POR,1189.0,1245.0,1,UEFA,2014-06-05
5.0,Argentina,ARG,1175.0,1178.0,-2,CONMEBOL,2014-06-05
6.0,Switzerland,SUI,1149.0,1161.0,-2,UEFA,2014-06-05
7.0,Uruguay,URU,1147.0,1181.0,1,CONMEBOL,2014-06-05
8.0,Colombia,COL,1137.0,1186.0,3,CONMEBOL,2014-06-05
9.0,Italy,ITA,1104.0,1115.0,0,UEFA,2014-06-05
10.0,England,ENG,1090.0,1043.0,-1,UEFA,2014-06-05
11.0,Belgium,BEL,1074.0,1039.0,-1,UEFA,2014-06-05
12.0,Greece,GRE,1064.0,1082.0,2,UEFA,2014-06-05
13.0,USA,USA,1035.0,1015.0,-1,CONCACAF,2014-06-05
14.0,Chile,CHI,1026.0,1037.0,1,CONMEBOL,2014-06-05
15.0,Netherlands,NED,981.0,967.0,0,UEFA,2014-06-05
16.0,Ukraine,UKR,915.0,913.0,-1,UEFA,2014-06-05
17.0,France,FRA,913.0,935.0,1,UEFA,2014-06-05
18.0,Croatia,CRO,903.0,871.0,-2,UEFA,2014-06-05
19.0,Russia,RUS,893.0,903.0,1,UEFA,2014-06-05
20.0,Mexico,MEX,882.0,877.0,1,CONCACAF,2014-06-05
21.0,Bosnia and Herzegovina,BIH,873.0,795.0,-4,UEFA,2014-06-05
22.0,Algeria,ALG,858.0,795.0,-3,CAF,2014-06-05
23.0,Côte d'Ivoire,CIV,809.0,830.0,2,CAF,2014-06-05
23.0,Denmark,DEN,809.0,819.0,0,UEFA,2014-06-05
25.0,Slovenia,SVN,800.0,787.0,-4,UEFA,2014-06-05
26.0,Ecuador,ECU,791.0,794.0,-2,CONMEBOL,2014-06-05
27.0,Scotland,SCO,786.0,825.0,5,UEFA,2014-06-05
28.0,Costa Rica,CRC,762.0,748.0,-6,CONCACAF,2014-06-05
29.0,Romania,ROU,761.0,756.0,-3,UEFA,2014-06-05
30.0,Serbia,SRB,745.0,759.0,0,UEFA,2014-06-05
31.0,Panama,PAN,743.0,739.0,-4,CONCACAF,2014-06-05
32.0,Sweden,SWE,741.0,795.0,7,UEFA,2014-06-05
33.0,Honduras,HON,731.0,759.0,3,CONCACAF,2014-06-05
34.0,Czechia,CZE,724.0,731.0,-2,UEFA,2014-06-05
35.0,Turkey,TUR,722.0,711.0,-4,UEFA,2014-06-05
36.0,Egypt,EGY,715.0,798.0,12,CAF,2014-06-05
37.0,Ghana,GHA,704.0,713.0,-1,CAF,2014-06-05
38.0,Armenia,ARM,682.0,750.0,5,UEFA,2014-06-05
39.0,Cabo Verde,CPV,674.0,665.0,-3,CAF,2014-06-05
40.0,Venezuela,VEN,672.0,666.0,-1,CONMEBOL,2014-06-05
41.0,Wales,WAL,644.0,613.0,-6,UEFA,2014-06-05
42.0,Austria,AUT,643.0,673.0,2,UEFA,2014-06-05
