team,rank,points,strength
Spain,1,1485.0,1.0
Germany,2,1300.0,0.8754208754208754
Brazil,3,1242.0,0.8363636363636363
Portugal,4,1189.0,0.8006734006734006
Argentina,5,1175.0,0.7912457912457912
Switzerland,6,1149.0,0.7737373737373737
Uruguay,7,1147.0,0.7723905723905724
Colombia,8,1137.0,0.7656565656565657
Italy,9,1104.0,0.7434343434343434
England,10,1090.0,0.734006734006734
Belgium,11,1074.0,0.7232323232323232
Greece,12,1064.0,0.7164983164983165
USA,13,1035.0,0.696969696969697
Chile,14,1026.0,0.6909090909090909
Netherlands,15,981.0,0.6606060606060606
Ukraine,16,915.0,0.6161616161616161
France,17,913.0,0.6148148148148148
Croatia,18,903.0,0.6080808080808081
Russia,19,893.0,0.6013468013468013
Mexico,20,882.0,0.593939393939394
Bosnia and Herzegovina,21,873.0,0.5878787878787879
Algeria,22,858.0,0.5777777777777777
Côte d'Ivoire,23,809.0,0.5447811447811448
Denmark,23,809.0,0.5447811447811448
Slovenia,25,800.0,0.5387205387205387
Ecuador,26,791.0,0.5326599326599326
Scotland,27,786.0,0.5292929292929293
Costa Rica,28,762.0,0.5131313131313131
Romania,29,761.0,0.5124579124579125
Serbia,30,745.0,0.5016835016835017
Panama,31,743.0,0.5003367003367003
Sweden,32,741.0,0.498989898989899
Honduras,33,731.0,0.4922558922558923
Czechia,34,724.0,0.48754208754208755
Turkey,35,722.0,0.4861952861952862
Egypt,36,715.0,0.48148148148148145
Ghana,37,704.0,0.4740740740740741
Armenia,38,682.0,0.45925925925925926
Cabo Verde,39,674.0,0.45387205387205387
Venezuela,40,672.0,0.45252525252525255
Wales,41,644.0,0.43367003367003365
Austria,42,643.0,0.432996632996633
IR Iran,43,641.0,0.4316498316498317
Nigeria,44,640.0,0.43097643097643096
Peru,45,627.0,0.4222222222222222
Japan,46,626.0,0.42154882154882156
Hungary,47,624.0,0.4202020202020202
Tunisia,48,612.0,0.4121212121212121
Slovakia,49,591.0,0.397979797979798
Paraguay,50,575.0,0.3872053872053872
Montenegro,51,574.0,0.3865319865319865
Iceland,52,566.0,0.3811447811447811
Guinea,52,566.0,0.3811447811447811
Sierra Leone,54,565.0,0.38047138047138046
Norway,55,562.0,0.3784511784511784
Cameroon,56,558.0,0.37575757575757573
Korea Republic,57,547.0,0.36835016835016837
Mali,57,547.0,0.36835016835016837
Uzbekistan,59,539.0,0.362962962962963
Burkina Faso,60,538.0,0.3622895622895623
Finland,61,532.0,0.35824915824915826
Australia,62,526.0,0.3542087542087542
Jordan,63,510.0,0.3434343434343434
Libya,64,498.0,0.33535353535353535
South Africa,65,496.0,0.33400673400673403
Albania,66,495.0,0.3333333333333333
Bolivia,67,483.0,0.32525252525252524
El Salvador,68,481.0,0.3239057239057239
Poland,69,474.0,0.3191919191919192
Republic of Ireland,70,473.0,0.31851851851851853
Trinidad and Tobago,71,470.0,0.3164983164983165
